player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Kylian Mbappé,Real Madrid,La Liga,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0
Kyllian Antonio,Lens,Ligue 1,2025-2026,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Kévin Danois,Auxerre,Ligue 1,2025-2026,48,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,3,0
Kōta Takai,Gladbach,Bundesliga,2025-2026,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Ladislav Krejčí,Girona,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Ladislav Krejčí,Wolves,Premier League,2025-2026,20,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,5,1
Lamare Bogarde,Aston Villa,Premier League,2025-2026,19,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,5,0
Lameck Banda,Lecce,Serie A,2025-2026,17,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,6,1
Lamine Camara,Monaco,Ligue 1,2025-2026,33,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,6,0
Lamine Sy,Auxerre,Ligue 1,2025-2026,29,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0
Lamine Yamal,Barcelona,La Liga,2025-2026,20,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,1,0
Lancinet Kourouma,Girona,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,1
Lander Astiazaran,Real Sociedad,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lander Pinillos,Alavés,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lanroy Machine,Angers,Ligue 1,2025-2026,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Largie Ramazani,Valencia,La Liga,2025-2026,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,0
Lars Ritzka,St Pauli,Bundesliga,2025-2026,26,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Lassana Coulibaly,Lecce,Serie A,2025-2026,28,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,4,0
Lasse Rieß,Mainz 05,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lassine Sinayoko,Auxerre,Ligue 1,2025-2026,26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,8,0
Lasso Coulibaly,Auxerre,Ligue 1,2025-2026,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Latif Ouedraogo,Genoa,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Laurent Abergel,Lorient,Ligue 1,2025-2026,23,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,7,0
Laurs Skjellerup,Sassuolo,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lautaro Martínez,Inter,Serie A,2025-2026,13,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,3,0
Lautaro Valenti,Parma,Serie A,2025-2026,30,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,6,0
Lazar Jovanović,Stuttgart,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Lazar Samardzic,Atalanta,Serie A,2025-2026,8,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0
Leander Dendoncker,Oviedo,La Liga,2025-2026,25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Leandro Cabrera,Espanyol,La Liga,2025-2026,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,3,0
Leandro Trossard,Arsenal,Premier League,2025-2026,15,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Leart Paqarada,Heidenheim,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lee Jae-sung,Mainz 05,Bundesliga,2025-2026,21,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,0
Lee Kang-in,Paris Saint-Germain,Ligue 1,2025-2026,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,0
Lennard Maloney,Mainz 05,Bundesliga,2025-2026,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1,0
Lennart Karl,Bayern Munich,Bundesliga,2025-2026,15,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Lennon Miller,Udinese,Serie A,2025-2026,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Leny Yoro,Manchester Utd,Premier League,2025-2026,19,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1,0
Leo Román,Mallorca,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0
Leo Skiri Østigård,Genoa,Serie A,2025-2026,27,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,7,0
Leon Avdullahu,Hoffenheim,Bundesliga,2025-2026,30,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,0
Leon Bailey,Aston Villa,Premier League,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Leon Bailey,Roma,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Leon Goretzka,Bayern Munich,Bundesliga,2025-2026,19,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,0
Leonardo Balerdi,Marseille,Ligue 1,2025-2026,28,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,0
Leonardo Bittencourt,Werder Bremen,Bundesliga,2025-2026,10,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0
Leonardo Pavoletti,Cagliari,Serie A,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Leonardo Spinazzola,Napoli,Serie A,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Leonidas Stergiou,Heidenheim,Bundesliga,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Leonidas Stergiou,Stuttgart,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Leopold Querfeld,Union Berlin,Bundesliga,2025-2026,27,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,7,0
Lesley Ugochukwu,Burnley,Premier League,2025-2026,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,1
Levi Colwill,Chelsea,Premier League,2025-2026,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lewis Cook,Bournemouth,Premier League,2025-2026,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,1
Lewis Dunk,Brighton,Premier League,2025-2026,21,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,10,0
Lewis Ferguson,Bologna,Serie A,2025-2026,15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,7,1
Lewis Hall,Newcastle United,Premier League,2025-2026,30,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,0
Lewis Miley,Newcastle United,Premier League,2025-2026,18,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Liam Delap,Chelsea,Premier League,2025-2026,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,0
Lilian Brassier,Rennes,Ligue 1,2025-2026,13,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,2,0
Lilian Raolisoa,Angers,Ligue 1,2025-2026,31,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,0
Linton Maina,Köln,Bundesliga,2025-2026,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Linus Güther,Union Berlin,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
Lionel Mpasi,Le Havre,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Lisandro Martínez,Manchester Utd,Premier League,2025-2026,10,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,1
Livan Burcu,Union Berlin,Bundesliga,2025-2026,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4,0
Lloyd Kelly,Juventus,Serie A,2025-2026,32,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,4,0
Logan Costa,Villarreal,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Lohann Doucet,Paris FC,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0
Lorenz Assignon,Stuttgart,Bundesliga,2025-2026,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,1
Lorenzo Bernasconi,Atalanta,Serie A,2025-2026,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,0
Lorenzo Colombo,Genoa,Serie A,2025-2026,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,2,0
Lorenzo De Silvestri,Bologna,Serie A,2025-2026,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2,0
Lorenzo Lucca,Napoli,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0
Lorenzo Lucca,Nottingham Forest,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Lorenzo Montipò,Hellas Verona,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lorenzo Pellegrini,Roma,Serie A,2025-2026,5,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0
Lorenzo Venturino,Genoa,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Lorenzo Venturino,Roma,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lorran,Pisa,Serie A,2025-2026,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Louis Buffon,Pisa,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Louis Lemke,Hamburger SV,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Louis Leroux,Nantes,Ligue 1,2025-2026,23,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,0
Louis Mouton,Angers,Ligue 1,2025-2026,26,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,1
Louis Oppie,St Pauli,Bundesliga,2025-2026,19,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0
Loum Tchaouna,Burnley,Premier League,2025-2026,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Love Arrhov,Eintracht Frankfurt,Bundesliga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Lovro Majer,Wolfsburg,Bundesliga,2025-2026,18,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5,0
Loïc Bade,Leverkusen,Bundesliga,2025-2026,19,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4,0
Loïc Nego,Le Havre,Ligue 1,2025-2026,36,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,0
Loïs Openda,Juventus,Serie A,2025-2026,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0
Loïs Openda,RB Leipzig,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Luca Jaquez,Stuttgart,Bundesliga,2025-2026,7,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0
Luca Kerber,Heidenheim,Bundesliga,2025-2026,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,3,0
Luca Koleosho,Espanyol,La Liga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Luca Koleosho,Paris FC,Ligue 1,2025-2026,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0
Luca Lipani,Sassuolo,Serie A,2025-2026,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,3,0
Luca Marianucci,Napoli,Serie A,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Luca Marianucci,Torino,Serie A,2025-2026,5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Luca Mazzitelli,Cagliari,Serie A,2025-2026,11,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3,0
Luca Moro,Sassuolo,Serie A,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Luca Netz,Gladbach,Bundesliga,2025-2026,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Luca Netz,Nottingham Forest,Premier League,2025-2026,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Luca Pellegrini,Lazio,Serie A,2025-2026,15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,8,0
Luca Ranieri,Fiorentina,Serie A,2025-2026,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,8,1
Luca Reggiani,Dortmund,Bundesliga,2025-2026,10,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0
Luca Waldschmidt,Köln,Bundesliga,2025-2026,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Lucas,Burnley,Premier League,2025-2026,19,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,1
Lucas Ahijado,Oviedo,La Liga,2025-2026,29,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,0
Lucas Beltrán,Valencia,La Liga,2025-2026,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1,0
Lucas Beraldo,Paris Saint-Germain,Ligue 1,2025-2026,21,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2,0
Lucas Bergström,Mallorca,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Lucas Bergvall,Tottenham Hotspur,Premier League,2025-2026,14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,2,0
Lucas Boyé,Alavés,La Liga,2025-2026,24,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,4,1
Lucas Cepeda,Elche,La Liga,2025-2026,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1,0
Lucas Chevalier,Paris Saint-Germain,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lucas Da Cunha,Como,Serie A,2025-2026,33,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,4,0
Lucas Digne,Aston Villa,Premier League,2025-2026,26,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,3,0
Lucas Gourna-Douath,Le Havre,Ligue 1,2025-2026,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,5,0
Lucas Hernández,Paris Saint-Germain,Ligue 1,2025-2026,14,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Lucas Höler,Freiburg,Bundesliga,2025-2026,12,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,4,0
Lucas Høgsberg,Strasbourg,Ligue 1,2025-2026,9,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,1
Lucas Michal,Metz,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
Lucas Michal,Monaco,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Lucas Paquetá,West Ham United,Premier League,2025-2026,22,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,7,1
Lucas Perri,Leeds United,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
Lucas Rosier,Rennes,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lucas Torró,Osasuna,La Liga,2025-2026,18,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,6,0
Lucas Tousart,Brest,Ligue 1,2025-2026,12,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,0
Lucas Vázquez,Leverkusen,Bundesliga,2025-2026,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0
Lucien Agoume,Sevilla,La Liga,2025-2026,40,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,12,0
Luck Zogbé,Brest,Ligue 1,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0
Ludovic Ajorque,Brest,Ligue 1,2025-2026,20,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,9,1
Ludovic Blas,Rennes,Ligue 1,2025-2026,10,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0
Luis Díaz,Bayern Munich,Bundesliga,2025-2026,13,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,7,1
Luis Guilherme,West Ham United,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Luis Henrique,Inter,Serie A,2025-2026,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Luis Milla,Getafe,La Liga,2025-2026,32,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,5,1
Luis Orejuela,Mallorca,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Luis Rioja,Valencia,La Liga,2025-2026,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,0
Luis Vázquez,Getafe,La Liga,2025-2026,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,2,0
Luiz Felipe,Rayo Vallecano,La Liga,2025-2026,8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,0
Luiz Lúcio Reis Júnior,Villarreal,La Liga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,0
Luka Ilić,Oviedo,La Liga,2025-2026,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,1
Luka Modrić,Milan,Serie A,2025-2026,26,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Luka Sučić,Real Sociedad,La Liga,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Luka Vušković,Hamburger SV,Bundesliga,2025-2026,17,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,6,0
Luka Đurić,Hoffenheim,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lukas Klostermann,RB Leipzig,Bundesliga,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lukas Kübler,Freiburg,Bundesliga,2025-2026,25,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,3,0
Lukas Nmecha,Leeds United,Premier League,2025-2026,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0
Lukas Ullrich,Gladbach,Bundesliga,2025-2026,17,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2,0
Luke O'Nien,Sunderland,Premier League,2025-2026,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1
Luke Shaw,Manchester Utd,Premier League,2025-2026,43,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,9,0
Luken Beitia,Real Sociedad,La Liga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Lukáš Hrádecký,Monaco,Ligue 1,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
Lutsharel Geertruida,Sunderland,Premier League,2025-2026,21,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,0
Luís Balbo,Fiorentina,Serie A,2025-2026,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Lyle Foster,Burnley,Premier League,2025-2026,12,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,4,0
Léo Pétrot,Elche,La Liga,2025-2026,22,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,1
Léo Scienza,Heidenheim,Bundesliga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
M'Bala Nzola,Pisa,Serie A,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,1
M'Bala Nzola,Sassuolo,Serie A,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Maarten Vandevoordt,RB Leipzig,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mads Hermansen,West Ham United,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mads Pedersen,Augsburg,Bundesliga,2025-2026,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Maduka Okoye,Udinese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1
Maghnes Akliouche,Monaco,Ligue 1,2025-2026,26,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,3,0
Mahamadou Nagida,Rennes,Ligue 1,2025-2026,12,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Mahdi Camara,Rennes,Ligue 1,2025-2026,33,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,5,1
Mahmoud Dahoud,Eintracht Frankfurt,Bundesliga,2025-2026,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,0
Malang Sarr,Lens,Ligue 1,2025-2026,44,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,4,0
Malick Fofana,Lyon,Ligue 1,2025-2026,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0
Malick Mbaye,Metz,Ligue 1,2025-2026,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Malick Thiaw,Newcastle United,Premier League,2025-2026,33,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,4,0
Malik Tillman,Leverkusen,Bundesliga,2025-2026,30,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,2,0
Malo Gusto,Chelsea,Premier League,2025-2026,23,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,1
Malthe Hojholt,Pisa,Serie A,2025-2026,7,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2,0
Mama Samba Baldé,Brest,Ligue 1,2025-2026,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0
Mamadou Coulibaly,Monaco,Ligue 1,2025-2026,21,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,7,1
Mamadou Sangare,Lens,Ligue 1,2025-2026,54,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,5,0
Mamadou Sarr,Chelsea,Premier League,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mamadou Sarr,Strasbourg,Ligue 1,2025-2026,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,3,0
Mamedi Doucouré,Genoa,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mamoudou Cissokho,Auxerre,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Mandela Keita,Parma,Serie A,2025-2026,47,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0
Manolis Saliakas,St Pauli,Bundesliga,2025-2026,20,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0
Manor Solomon,Fiorentina,Serie A,2025-2026,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Manor Solomon,Villarreal,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Manu Bueno,Sevilla,La Liga,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0
Manu Fernández,Celta Vigo,La Liga,2025-2026,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Manu Koné,Roma,Serie A,2025-2026,27,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46,2,0
Manu Morlanes,Mallorca,La Liga,2025-2026,27,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,4,1
Manu Sánchez,Levante,La Liga,2025-2026,51,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,8,0
Manuel Akanji,Inter,Serie A,2025-2026,24,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,0
Manuel De Luca,Cremonese,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Manuel Lazzari,Lazio,Serie A,2025-2026,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Manuel Locatelli,Juventus,Serie A,2025-2026,64,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,9,0
Manuel Neuer,Bayern Munich,Bundesliga,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Manuel Ugarte,Manchester Utd,Premier League,2025-2026,30,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,1,0
Manuel Ángel,Real Madrid,La Liga,2025-2026,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
Marash Kumbulla,Mallorca,La Liga,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0
Marc Aguado,Elche,La Liga,2025-2026,25,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,0
Marc Bartra,Real Betis,La Liga,2025-2026,18,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3,0
Marc Bernal,Barcelona,La Liga,2025-2026,18,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,0
Marc Casado,Barcelona,La Liga,2025-2026,9,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,1,0
Marc Cucurella,Chelsea,Premier League,2025-2026,37,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,7,1
Marc Domenech,Mallorca,La Liga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
Marc Guiu,Chelsea,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1,0
Marc Guiu,Sunderland,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Marc Guéhi,Crystal Palace,Premier League,2025-2026,19,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,0
Marc Guéhi,Manchester City,Premier League,2025-2026,11,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2,0
Marc Pubill,Atlético Madrid,La Liga,2025-2026,15,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,2,0
