player,squad,league,season,tackles,interceptions,blocks,clearances,progressive_passes,progressive_carries,progressive_passes_received,take_ons_won,miscontrols,fouls,cards_yellow,cards_red
Charles Pickel,Espanyol,La Liga,2025-2026,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,2
Charles Vanhoutte,Nice,Ligue 1,2025-2026,28,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,7,0
Charlie Cresswell,Toulouse,Ligue 1,2025-2026,14,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,8,0
Che Adams,Torino,Serie A,2025-2026,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0
Cheikh Niasse,Hellas Verona,Serie A,2025-2026,14,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,0
Cheikh Tidiane Sabaly,Metz,Ligue 1,2025-2026,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2,0
Chema,Stuttgart,Bundesliga,2025-2026,16,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5,0
Chemsdine Talbi,Sunderland,Premier League,2025-2026,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Cher Ndour,Fiorentina,Serie A,2025-2026,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,0
Cheveyo Muy,Milan,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Chidera Ejuke,Sevilla,La Liga,2025-2026,13,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
Chidozie Awaziem,Nantes,Ligue 1,2025-2026,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,7,0
Chris Führich,Stuttgart,Bundesliga,2025-2026,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,0
Chris Richards,Crystal Palace,Premier League,2025-2026,35,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,4,0
Chris Rigg,Sunderland,Premier League,2025-2026,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Chris Wood,Nottingham Forest,Premier League,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
Chrislain Matsima,Augsburg,Bundesliga,2025-2026,11,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,5,0
Christ-Owen Kouassi,Lecce,Serie A,2025-2026,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Christantus Uche,Crystal Palace,Premier League,2025-2026,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Christantus Uche,Getafe,La Liga,2025-2026,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
Christian Conteh,Heidenheim,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0
Christian Eriksen,Wolfsburg,Bundesliga,2025-2026,20,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4,0
Christian Frangella,Sassuolo,Serie A,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Christian Günter,Freiburg,Bundesliga,2025-2026,12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,3,0
Christian Kabasele,Udinese,Serie A,2025-2026,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,5,0
Christian Kofane,Leverkusen,Bundesliga,2025-2026,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3,0
Christian Kouamé,Fiorentina,Serie A,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Christian Mawissa,Monaco,Ligue 1,2025-2026,25,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,0
Christian Nørgaard,Arsenal,Premier League,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
Christian Ordoñez,Parma,Serie A,2025-2026,12,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5,1
Christian Pulisic,Milan,Serie A,2025-2026,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0
Christoph Baumgartner,RB Leipzig,Bundesliga,2025-2026,40,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,10,0
Christopher Nkunku,Milan,Serie A,2025-2026,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0
Christopher Trimmel,Union Berlin,Bundesliga,2025-2026,24,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,8,0
Christopher Wooh,Rennes,Ligue 1,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1
Ciro Immobile,Bologna,Serie A,2025-2026,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
Ciro Immobile,Paris FC,Ligue 1,2025-2026,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,0
Claudio Echeverri,Girona,La Liga,2025-2026,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0
Claudio Echeverri,Leverkusen,Bundesliga,2025-2026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
Clemens Riedel,Espanyol,La Liga,2025-2026,14,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,5,0
Clinton Mata,Lyon,Ligue 1,2025-2026,21,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,5,0
Clément Akpa,Auxerre,Ligue 1,2025-2026,19,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,4,1
Clément Lenglet,Atlético Madrid,La Liga,2025-2026,8,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,6,1
